model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar,klideal,covdivideal,meandivideal,entropydivideal
model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar,klideal,covdivideal,meandivideal,entropydivideal
truth,9,1,1,,,,,0,,,,,0,none,,,,none,,,18.40902470327208,0,,,,
observed,9,1,1,,,,,0,,,,,0,none,,,,none,,,18.420306151709518,0,,,,
ideal,9,1,1,80,1280,16,0,0,,,,,0,none,,,0.628041282565261,none,,,18,1.2000000000000002,,,,
particle,9,1,1,80,1280,16,0,0,0.8970100459093275,1.6910815888197765,0.004397813835687546,-0.7984693567461365,0,none,,,0.5827908245289035,none,,,17.84271776353838,1.1102283399692785,,,,
franken,9,1,1,80,1280,16,0,0,0.003402992159167133,0.05556197852638752,0.00012331482526125483,-0.05228230119248164,0,none,,,0.6059923094502544,none,,4,17.984335916657635,1.1603643845576468,0.005372212029232895,0.0670310931657987,0.00013765440200956677,-0.061796535538575365
truth,9,1,2,,,,,0,,,,,0,none,,,,none,,,68.5389229933858,0,,,,
observed,9,1,2,,,,,0,0.001735004990294313,0,0.001735004990294313,0,0,none,,,,none,,,68.19558055957356,60,,,,
ideal,9,1,2,80,1280,16,0,0,0.002914353815014385,-0.010142796342960558,6149165334392675e-20,0.012995658504631016,0,none,,,0.260358117370214,none,,,68.16237194774399,0.14853300733496155,,,,
particle,9,1,2,80,1280,16,0,0,NaN,NaN,NaN,NaN,0,none,0.109049757,,NaN,none,,,NaN,NaN,,,,
franken,9,1,2,80,1280,16,0,0,NaN,NaN,NaN,NaN,0,none,0.228225431,,NaN,none,,4,NaN,NaN,,,,
truth,9,1,3,,,,,0,,,,,0,none,,,,none,,,4005.0944877660495,0,,,,
observed,9,1,3,,,,,0,0.5748241870493437,0,0.5748241870493437,0,0,none,,,,none,,,4004.8136860903023,60,,,,
ideal,9,1,3,80,1280,16,1,0,0.002710709618253815,0.03509656121535435,0.00014642350310652618,-0.032532275100207064,0,none,,,1.0812725564410686,none,,,4003.737497070856,0.14853300733496155,,,,
particle,9,1,3,80,1280,16,1,0,NaN,NaN,NaN,NaN,0,none,191278e-9,,NaN,none,,,NaN,NaN,,,,
franken,9,1,3,80,1280,16,1,0,NaN,NaN,NaN,NaN,0,none,0.004422676,,NaN,none,,4,NaN,NaN,,,,
truth,9,1,4,,,,,0,,,,,0,none,,,,none,,,778931590.2662845,0,,,,
observed,9,1,4,,,,,0,37918428.516635,0,37918428.516635,0,0,none,,,,none,,,778931590.8159745,60,,,,
ideal,9,1,4,80,1280,16,1,0,0.0036837472506435326,-0.031544799541287714,6725349084694699e-20,0.0351612933010843,0,none,,,41983215.52442874,none,,,778932006.6974881,0.14853300733496155,,,,
particle,9,1,4,80,1280,16,1,0,NaN,NaN,NaN,NaN,0,none,154865e-9,,NaN,none,,,NaN,NaN,,,,
franken,9,1,4,80,1280,16,1,0,NaN,NaN,NaN,NaN,0,none,0.003777582,,NaN,none,,4,NaN,NaN,,,,
truth,9,1,5,,,,,0,,,,,0,none,,,,none,,,38223870394022285e8,0,,,,
observed,9,1,5,,,,,0,6035076194921311e20,0,6035076194921311e20,0,0,none,,,,none,,,38223870394022285e8,60,,,,
ideal,9,1,5,80,1280,16,1,0,19790709163175963e25,666665.166666315,19790709163175963e25,0,0,none,,,7551064299833195e20,none,,,38223858475600095e8,0.14853300733496155,,,,
particle,9,1,5,80,1280,16,1,0,NaN,NaN,NaN,NaN,0,none,353509e-9,,NaN,none,,,NaN,NaN,,,,
franken,9,1,5,80,1280,16,1,0,NaN,NaN,NaN,NaN,0,none,0.009064364,,NaN,none,,4,NaN,NaN,,,,
truth,9,1,6,,,,,0,,,,,0,none,,,,none,,,461400842840099e57,0,,,,
observed,9,1,6,,,,,0,21802108900371864e110,0,21802108900371864e110,0,0,none,,,,none,,,461400842840099e57,60,,,,
ideal,9,1,6,80,1280,16,1,0,Inf,333331.8333333333,7407436172686529e214,Inf,0,none,,,5088600670557489e111,none,,,4614008373649768e56,0.14853300733496155,,,,
particle,9,1,6,80,1280,16,1,0,NaN,NaN,NaN,NaN,0,none,641197e-9,,NaN,none,,,NaN,NaN,,,,
franken,9,1,6,80,1280,16,1,0,NaN,NaN,NaN,NaN,0,none,0.00739942,,NaN,none,,4,NaN,NaN,,,,
truth,9,1,7,,,,,0,,,,,0,none,,,,none,,,7001454833236346e196,0,,,,
observed,9,1,7,,,,,0,Inf,0,Inf,0,0,none,,,,none,,,7001454833236346e196,60,,,,
ideal,9,1,7,80,1280,16,1,0,NaN,NaN,Inf,NaN,0,none,,,Inf,none,,,7001454831288749e196,0.14853300733496155,,,,
particle,9,1,7,80,1280,16,1,0,NaN,NaN,NaN,NaN,0,none,199253e-9,,NaN,none,,,NaN,NaN,,,,
franken,9,1,7,80,1280,16,1,0,NaN,NaN,NaN,NaN,0,none,0.003566653,,NaN,none,,4,NaN,NaN,,,,
truth,9,1,8,,,,,0,,,,,0,none,,,,none,,,Inf,0,,,,
observed,9,1,8,,,,,0,NaN,0,NaN,0,0,none,,,,none,,,NaN,60,,,,
ideal,9,1,8,80,1280,16,1,0,NaN,NaN,NaN,NaN,0,none,,,NaN,none,,,NaN,0.14853300733496155,,,,
particle,9,1,8,80,1280,16,1,0,NaN,NaN,NaN,NaN,0,none,196626e-9,,NaN,none,,,NaN,NaN,,,,
franken,9,1,8,80,1280,16,1,0,NaN,NaN,NaN,NaN,0,none,0.003830241,,NaN,none,,4,NaN,NaN,,,,
truth,9,1,9,,,,,0,,,,,0,none,,,,none,,,NaN,0,,,,
observed,9,1,9,,,,,0,NaN,0,NaN,0,0,none,,,,none,,,NaN,60,,,,
